상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
9788960884977,S000217579119,처음이지만 프로처럼 쓰는 노션(Notion),"25,000","22,500",10%,5%,"1,250",박한용(노션너굴),디지털북스,20250930,컴퓨터/IT
9791140715503,S000217368956,2026 시나공 컴퓨터활용능력 1급 실기 총정리,"26,000","23,400",10%,5%,"1,300",길벗알앤디,길벗,20250929,컴퓨터/IT
9791169214438,S000217939667,AI 프로덕트 기획과 운영,"22,000","19,800",10%,5%,"1,100",마릴리 니카,한빛미디어,20250929,컴퓨터/IT
9791165923341,S000217735516,안티프래질 프런트엔드,"23,000","20,700",10%,5%,"1,150",김상철,비제이퍼블릭,20250926,컴퓨터/IT
9791169213929,S000217513398,헤드 퍼스트 소프트웨어 아키텍처,"37,000","33,300",10%,5%,"1,850",라주 간디 외,한빛미디어,20250919,컴퓨터/IT
9788931479324,S000217403781,2026 이기적 컴퓨터활용능력 2급 필기 최신문제집,"17,000","15,300",10%,5%,850,홍태성 외,영진닷컴,20250919,컴퓨터/IT
9791163037644,S000217555430,Do it! Go 완전 정복,"38,000","34,200",10%,5%,"1,900",한성민,이지스퍼블리싱,20250915,컴퓨터/IT
9791136038821,S000217478348,2026 에듀윌 컴퓨터활용능력 2급 필기 기본서,"22,000","19,800",10%,5%,"1,100",이상미 외,에듀윌,20250905,컴퓨터/IT
9788931479805,S000217287449,2026 이기적 정보처리기사 필기+실기 올인원,"49,000","44,100",10%,5%,"2,450",고소현 외,영진닷컴,20250901,컴퓨터/IT
9791165923310,S000217413287,30가지 심리학 이야기로 풀어보는 UX 디자인,"24,000","21,600",10%,5%,"1,200",윤하린,비제이퍼블릭,20250901,컴퓨터/IT
9791158087524,S000217422535,R을 이용한 생존분석 기초,"28,000","28,000",0%,3%,840,김재희,자유아카데미,20250829,컴퓨터/IT
9791169214247,S000217524649,정지훈의 양자 컴퓨터 강의: AI 다음의 게임 체인저 양자 컴퓨터의 모든 것,"24,000","21,600",10%,5%,"1,200",정지훈,한빛미디어,20250829,컴퓨터/IT
9791193205716,S000217403616,찐 실전 챗GPT: 생성형 AI (에듀테크) 기술·가정 수업 활용하기!,"17,000","17,000",0%,3%,510,봉우리 외,광문각출판미디어,20250825,컴퓨터/IT
9788931479362,S000217187013,2026 이기적 컴퓨터활용능력 2급 필기+실기 올인원,"29,000","26,100",10%,5%,"1,450",홍태성 외,영진닷컴,20250822,컴퓨터/IT
9791143005830,S000217260424,AI와 감시 자본주의,"12,000","12,000",0%,0%,0,김상현,커뮤니케이션북스,20250822,컴퓨터/IT
9791190488617,S000217048849,"AI 시대의 질문력, 프롬프트 엔지니어링","27,000","24,300",10%,5%,"1,350",류한석,코리아닷컴,20250812,컴퓨터/IT
9791193229347,S000217098357,AI 에이전트 생태계,"27,000","24,300",10%,5%,"1,350",조쉬(이주환),로드북,20250804,컴퓨터/IT
9791169214100,S000217193352,"구스마일의 월 1,000만 원 버는 유튜브 첫걸음 가이드북","19,000","17,100",10%,5%,950,구스마일(구태한),한빛미디어,20250804,컴퓨터/IT
9791140715107,S000217153337,2026 시나공 컴퓨터활용능력 2급 필기 총정리,"16,000","14,400",10%,5%,800,길벗알앤디,길벗,20250804,컴퓨터/IT
9791140715060,S000217163721,나만의 MCP 서버 만들기 with 커서 AI,"24,000","21,600",10%,5%,"1,200",서지영,길벗,20250730,컴퓨터/IT
9791194630241,S000217111234,명품 C++ Programming,"34,000","34,000",0%,3%,"1,020",황기태,생능출판,20250725,컴퓨터/IT
9791185623375,S000001871374,국가공인 산업보안관리사 적중예상문제집,"30,000","27,000",10%,5%,"1,500",산업보안실무위원회,케듀아이,20250725,컴퓨터/IT
9791140714995,S000217061005,모두의 인공지능 with 파이썬,"30,000","27,000",10%,5%,"1,500",이영호,길벗,20250725,컴퓨터/IT
9788964947524,S000216905521,IT 업무의 기본이 되는 네트워크 구조 원리 교과서,"28,000","25,200",10%,5%,"1,400",도네 쓰토무,보누스,20250710,컴퓨터/IT
9791194587248,S000216841015,깃허브 액션으로 구현하는 실전 CI/CD 설계와 운영,"28,000","25,200",10%,5%,"1,400",노무라 도모키,제이펍,20250704,컴퓨터/IT
9791169214001,S000216932067,실무에서 SQL을 다루는 기술,"33,000","29,700",10%,5%,"1,650",마크 사이먼,한빛미디어,20250630,컴퓨터/IT
9791192040097,S000216987898,모두를 위한 최신 ChatGPT 프롬프트 엔지니어링,"20,000","18,000",10%,5%,"1,000",김진 외,마소캠퍼스,20250630,컴퓨터/IT
9791138394994,S000216966421,MOS 365 PowerPoint Associate,"15,000","13,500",10%,5%,750,김경희 외,시대인,20250630,컴퓨터/IT
9791188546626,S000216933415,시노비가미 유파북 쿠라마신류,"20,000","20,000",0%,3%,600,카와시마 토이치로,티알피지클럽(TRPG CLUB),20250627,컴퓨터/IT
9791138394437,S000216865871,MOS 365 Word Associate,"15,000","13,500",10%,5%,750,김경희 외,시대인,20250627,컴퓨터/IT
9791169213998,S000216858506,생성형 AI를 위한 프롬프트 엔지니어링,"38,000","34,200",10%,5%,"1,900",제임스 피닉스 외,한빛미디어,20250623,컴퓨터/IT
9791140713394,S000216810171,게임 UI 디자인 교과서,"33,000","33,000",0%,3%,990,이은정 외,길벗캠퍼스,20250620,컴퓨터/IT
9788931478006,S000216695808,처음이야? 파이썬 기초,"20,000","18,000",10%,5%,"1,000",윤영빈 외,영진닷컴,20250620,컴퓨터/IT
9791140713714,S000216758898,2026 시나공 컴퓨터활용능력 1급 필기 기본서,"32,000","28,800",10%,5%,"1,600",길벗알앤디,길벗,20250616,컴퓨터/IT
9791140713721,S000216758905,2026 시나공 컴퓨터활용능력 2급 필기 기본서,"22,000","19,800",10%,5%,"1,100",길벗알앤디,길벗,20250616,컴퓨터/IT
9791194587286,S000216627462,LUVIT 나의 첫 타입스크립트 프로젝트,"26,000","23,400",10%,5%,"1,300",조용수,제이펍,20250612,컴퓨터/IT
9791143000248,S000216695654,인공지능과 편향,"12,000","12,000",0%,3%,360,김효은,커뮤니케이션북스,20250610,컴퓨터/IT
9791169213905,S000216646713,스위프트 프로그래밍,"36,000","32,400",10%,5%,"1,800",야곰,한빛미디어,20250530,컴퓨터/IT
9791158395902,S000216400799,시스템 설계 면접 완벽 가이드,"35,000","31,500",10%,5%,"1,750",지용 탄,위키북스,20250515,컴퓨터/IT
9791169213783,S000216453776,러닝 랭체인,"28,000","25,200",10%,5%,"1,400",메이오 오신 외,한빛미디어,20250514,컴퓨터/IT
9791173078880,S000216327945,AI와 애니메이션 산업,"12,000","12,000",0%,0%,0,오동일,커뮤니케이션북스,20250428,컴퓨터/IT
9788931479409,S000216257548,예제로 배우는 C++ STL,"33,000","29,700",10%,5%,"1,650",빌 와인먼,영진닷컴,20250415,컴퓨터/IT
9788964947432,S000216255644,IT 업무의 기본이 되는 컴퓨터 구조 원리 교과서,"22,000","19,800",10%,5%,"1,100",야자와 히사오,보누스,20250415,컴퓨터/IT
9791173079337,S000216233057,AI와 유통 비즈니스,"12,000","12,000",0%,0%,0,장중호,커뮤니케이션북스,20250414,컴퓨터/IT
9788931478952,S000216169134,포토샵 판타지 아트 기본편+활용편,"32,000","28,800",10%,5%,"1,600",JASON KIM,영진닷컴,20250404,컴퓨터/IT
9791193083284,S000216124230,IT 인프라 기초,"22,000","19,800",10%,5%,"1,100",장두환,루비페이퍼,20250401,컴퓨터/IT
9791169213509,S000216143733,공여사들의 엑셀 혁명 with 챗GPT,"21,000","18,900",10%,5%,"1,050",공여사들,한빛미디어,20250331,컴퓨터/IT
9788931583786,S000215964212,블렌더 3D&AI,"30,000","27,000",10%,5%,"1,500",오창근 외,성안당,20250305,컴퓨터/IT
